"filename", "language", "Rust", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\rs_examples\bst_words\src\bst.rs", "Rust", 151, 81, 12, 244
"c:\Users\Administrator\Desktop\rs_examples\bst_words\src\lib.rs", "Rust", 3, 40, 2, 45
"c:\Users\Administrator\Desktop\rs_examples\bst_words\src\main.rs", "Rust", 160, 58, 8, 226
"c:\Users\Administrator\Desktop\rs_examples\bst_words\src\type.rs", "Rust", 90, 78, 17, 185
"c:\Users\Administrator\Desktop\rs_examples\bst_words\src\utils.rs", "Rust", 58, 108, 8, 174
"Total", "-", 462, 365, 47, 874
